,feature-0014,feature-0029,feature-0031,feature-0035,feature-0057,feature-0061,feature-0082,feature-0282,feature-0304,feature-0345,feature-0350,feature-0367,feature-0411,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0573,feature-0579,feature-0598,feature-0697,feature-0703,feature-0764,feature-0853,feature-0856,feature-0938,feature-0972,feature-1024,feature-1054,feature-1088,feature-1136,feature-1137
Sample_0021_Non-LCa,11.734601700518802,5923.63670499261,453.228853936807,3662.82923824221,209.703574502162,2030.9856345440198,1836.0739251549398,294.42909455968,15579.7185045868,8.15046678627383,44.39778,38.6226783222563,406.817520865886,344.643818007332,21.5329980068964,14.304750594407802,261.77233759056196,110.6787,16.5266702229635,167.06300726953398,30177.155110164702,312.738478703014,204.27935851752102,21787.9921465462,97451.08,63.5475958878296,2842.7863457124104,47.42284,141.838947696022,179.976799311603,794.947978911189,10181.4883221663,3426.57091133942
Sample_0022_Non-LCa,14.857045835564803,1750.45738445436,1331.1921790084,3426.57091133942,105.98660692426,355.83225493626196,380.31069337108596,120.702075582343,14023.704006208798,11.2468774290986,61.14004,93.2325163220042,175.60827454870602,132.276438599231,67.4421170742017,8.90850049751482,34.9395235885405,62.300419999999995,12.2931385552198,12.870062682966402,9512.63251640146,167.06300726953398,87.75367829290221,15579.7185045868,78654.36,39.795824986159204,7236.07734143862,49.92051,13.606993942955,95.20466004738279,115.498816274161,3662.82923824221,5192.81196468206
Sample_0023_Non-LCa,10.4746808792755,1166.319710388,1589.53973446776,7236.07734143862,643.661923473448,863.3128913421291,2030.9856345440198,261.77233759056196,21787.9921465462,8.37761646977593,66.15084,76.1735692393598,699.243150122401,322.93778558439203,55.55096800004001,15.821440102302802,99.3405769468207,54.56038,19.2294124519583,20.573204734325603,9512.63251640146,487.995813577437,294.42909455968,30177.155110164702,97451.08,43.689084284921506,1520.1000912033999,82.57323000000001,23.0386207327811,730.6080078304041,233.49665564520802,2528.24715689304,3426.57091133942
Sample_0024_Non-LCa,14.4585366400263,506.22737675109397,380.31069337108596,453.228853936807,138.53237727081,233.49665564520802,14023.704006208798,64.7781396994912,21787.9921465462,12.7051873193147,40.41594,30.980815741990003,194.08420325880002,108.317860395874,79.29904113099771,10.046680867185401,34.9395235885405,46.63559,9.16871734920763,11.1343320829452,10899.865321385601,53.56975546946779,67.4421170742017,2528.24715689304,41952.03,25.0627659085629,8308.73480684338,29.10857,14.156835702742601,227.320096533558,76.1735692393598,1218.67335768311,4221.13135958984
Sample_0025_Non-LCa,13.044671959001699,322.93778558439203,548.538167069048,643.661923473448,67.4421170742017,148.386196474162,5545.81215932176,47.4228416267665,25172.3282770189,15.455028053324302,27.411820000000002,31.784269716630803,71.7014519753727,63.5475958878296,43.689084284921506,9.671268470566881,17.4417031772832,50.7786,8.96671278721157,9.686565878234711,14023.704006208798,45.870562930770504,53.56975546946779,2842.7863457124104,41952.03,16.2140417724928,12797.1981939553,27.738879999999998,10.233797130890801,198.98066007321603,52.6242704202596,794.947978911189,6759.71221132047
Sample_0026_Non-LCa,15.367324956266902,1589.53973446776,1026.7681101921698,3921.6220505032898,87.75367829290221,227.320096533558,2030.9856345440198,61.140044682319704,19451.7634340127,11.5648458262678,33.526790000000005,32.2019323363262,155.432605771302,103.706767523862,68.8494526972984,11.606220621165098,39.19984070009,51.682809999999996,12.144830086956198,14.537191001684699,11776.6392333358,126.322154083472,70.2325010571459,14023.704006208798,78654.36,25.0627659085629,5923.63670499261,40.41594,18.929495518547398,135.366272230162,93.2325163220042,4852.0476758985,3662.82923824221
Sample_0027_LCa,10.3923083399688,1750.45738445436,570.7599181686061,10181.4883221663,175.60827454870602,367.711492944881,1836.0739251549398,132.276438599231,7236.07734143862,11.096939311145801,39.19984,54.560376516045196,506.22737675109397,85.9317731824274,51.6828106639928,9.686565878234711,52.6242704202596,49.92051,11.606220621165098,24.011463430510602,11776.6392333358,95.20466004738279,198.98066007321603,41952.0332559775,97451.08,28.071462007249604,3426.57091133942,35.42698,29.1085673296716,1070.92459065281,84.2517950073013,5545.81215932176,8877.773220715459
Sample_0028_Non-LCa,16.6352748400915,5192.81196468206,184.512439305276,3921.6220505032898,487.995813577437,794.947978911189,943.2734728139619,194.08420325880002,4537.8041803052,12.193349394888301,41.66941,85.9317731824274,333.518499007247,215.350500234005,76.1735692393598,7.5528446899037895,66.15083665720671,97.27557,8.93377043004757,21.329026997715303,21787.9921465462,123.47744883288999,113.066057970613,30177.155110164702,97451.08,29.1085673296716,3017.03192133755,20.5732,30.980815741990003,27.411820075831297,277.392560305038,14023.704006208798,3426.57091133942
Sample_0029_Non-LCa,11.606220621165098,1218.67335768311,254.386329233115,670.918723923204,108.317860395874,151.847708563988,5545.81215932176,43.689084284921506,30177.155110164702,15.367324956266902,23.03862,33.0825684225088,123.47744883288999,74.63634275904091,47.4228416267665,9.94166517925556,28.7478453470677,42.99427,9.08487223585995,10.685224140941301,9512.63251640146,67.4421170742017,64.7781396994912,3426.57091133942,51566.01,21.1352804647554,11776.6392333358,29.10857,12.341534336805301,184.512439305276,50.778602119226896,2842.7863457124104,3662.82923824221
Sample_0030_Non-LCa,12.392569556608601,1391.28404036806,198.98066007321603,1166.319710388,285.644299486775,618.348622385677,8877.773220715459,87.75367829290221,17426.343930496398,10.233797130890801,53.569759999999995,21.329026997715303,175.60827454870602,221.16694420524502,18.929495518547398,8.94691732534999,40.4159359410456,99.34058,12.5454479076912,12.144830086956198,25172.3282770189,312.738478703014,76.1735692393598,4852.0476758985,51566.01,35.4269757380535,5192.81196468206,34.93952,11.5648458262678,2139.98805468982,129.344958781322,1931.9789591857398,15579.7185045868
