,feature-0014,feature-0029,feature-0048,feature-0057,feature-0061,feature-0080,feature-0273,feature-0282,feature-0304,feature-0336,feature-0350,feature-0359,feature-0367,feature-0411,feature-0430,feature-0462,feature-0482,feature-0483,feature-0485,feature-0501,feature-0510,feature-0533,feature-0573,feature-0579,feature-0598,feature-0689,feature-0694,feature-0697,feature-0703,feature-0764,feature-0812,feature-0853,feature-0856,feature-0862,feature-0870,feature-0934,feature-0972,feature-0982,feature-1002,feature-1054,feature-1073,feature-1088,feature-1105,feature-1136,feature-1137
Sample_0025_Non-LCa,13.044671959001699,322.93778558439203,19451.7634340127,67.4421170742017,148.386196474162,17426.343930496398,1520.1000912033999,47.4228416267665,25172.3282770189,30177.155110164702,27.411820000000002,7740.06911580213,31.784269716630803,71.7014519753727,232198.513652808,63.5475958878296,43.689084284921506,9.671268470566881,17.4417031772832,50.7786,11776.6392333358,762.428505477662,8.96671278721157,9.686565878234711,14023.704006208798,51566.010063122005,2381.82495074225,45.870562930770504,53.56975546946779,2842.7863457124104,152399.215113318,41952.03,16.2140417724928,64155.5161261962,21787.9921465462,15579.7185045868,27.738879999999998,4221.13135958984,8877.773220715459,198.98066007321603,78654.3623934317,52.6242704202596,97451.0827124985,794.947978911189,6759.71221132047
Sample_0026_Non-LCa,15.367324956266902,1589.53973446776,25172.3282770189,87.75367829290221,227.320096533558,12797.1981939553,3017.03192133755,61.140044682319704,19451.7634340127,17426.343930496398,33.526790000000005,10181.4883221663,32.2019323363262,155.432605771302,232198.513652808,103.706767523862,68.8494526972984,11.606220621165098,39.19984070009,51.682809999999996,15579.7185045868,4221.13135958984,12.144830086956198,14.537191001684699,11776.6392333358,51566.010063122005,3215.2137194297497,126.322154083472,70.2325010571459,14023.704006208798,97451.0827124985,78654.36,25.0627659085629,41952.0332559775,30177.155110164702,21787.9921465462,40.41594,5545.81215932176,7740.06911580213,135.366272230162,64155.5161261962,93.2325163220042,152399.215113318,4852.0476758985,3662.82923824221
Sample_0027_LCa,10.3923083399688,1750.45738445436,14023.704006208798,175.60827454870602,367.711492944881,51566.010063122005,1589.53973446776,132.276438599231,7236.07734143862,5923.63670499261,39.19984,3017.03192133755,54.560376516045196,506.22737675109397,232198.513652808,85.9317731824274,51.6828106639928,9.686565878234711,52.6242704202596,49.92051,7740.06911580213,3662.82923824221,11.606220621165098,24.011463430510602,11776.6392333358,30177.155110164702,2842.7863457124104,95.20466004738279,198.98066007321603,41952.0332559775,25172.3282770189,97451.08,28.071462007249604,64155.5161261962,19451.7634340127,10899.865321385601,35.42698,8308.73480684338,17426.343930496398,1070.92459065281,78654.3623934317,84.2517950073013,152399.215113318,5545.81215932176,8877.773220715459
Sample_0028_Non-LCa,16.6352748400915,5192.81196468206,17426.343930496398,487.995813577437,794.947978911189,19451.7634340127,2381.82495074225,194.08420325880002,4537.8041803052,7236.07734143862,41.66941,8308.73480684338,85.9317731824274,333.518499007247,232198.513652808,215.350500234005,76.1735692393598,7.5528446899037895,66.15083665720671,97.27557,5923.63670499261,10899.865321385601,8.93377043004757,21.329026997715303,21787.9921465462,64155.5161261962,2842.7863457124104,123.47744883288999,113.066057970613,30177.155110164702,78654.3623934317,97451.08,29.1085673296716,41952.0332559775,25172.3282770189,15579.7185045868,20.5732,4852.0476758985,6332.11299992453,27.411820075831297,51566.010063122005,277.392560305038,152399.215113318,14023.704006208798,3426.57091133942
Sample_0029_Non-LCa,11.606220621165098,1218.67335768311,19451.7634340127,108.317860395874,151.847708563988,12797.1981939553,1836.0739251549398,43.689084284921506,30177.155110164702,21787.9921465462,23.03862,10899.865321385601,33.0825684225088,123.47744883288999,232198.513652808,74.63634275904091,47.4228416267665,9.94166517925556,28.7478453470677,42.99427,15579.7185045868,2139.98805468982,9.08487223585995,10.685224140941301,9512.63251640146,41952.0332559775,1931.9789591857398,67.4421170742017,64.7781396994912,3426.57091133942,97451.0827124985,51566.01,21.1352804647554,64155.5161261962,25172.3282770189,17426.343930496398,29.10857,3921.6220505032898,4537.8041803052,184.512439305276,78654.3623934317,50.778602119226896,152399.215113318,2842.7863457124104,3662.82923824221
Sample_0030_Non-LCa,12.392569556608601,1391.28404036806,12797.1981939553,285.644299486775,618.348622385677,30177.155110164702,863.3128913421291,87.75367829290221,17426.343930496398,9512.63251640146,53.569759999999995,5545.81215932176,21.329026997715303,175.60827454870602,232198.513652808,221.16694420524502,18.929495518547398,8.94691732534999,40.4159359410456,99.34058,11776.6392333358,1750.45738445436,12.5454479076912,12.144830086956198,25172.3282770189,41952.0332559775,2030.9856345440198,312.738478703014,76.1735692393598,4852.0476758985,78654.3623934317,51566.01,35.4269757380535,64155.5161261962,19451.7634340127,8308.73480684338,34.93952,7740.06911580213,21787.9921465462,2139.98805468982,97451.0827124985,129.344958781322,152399.215113318,1931.9789591857398,15579.7185045868
Sample_0031_LCa,13.8738914090159,7740.06911580213,19451.7634340127,120.702075582343,1218.67335768311,21787.9921465462,1520.1000912033999,247.250629668951,2252.99176070568,2381.82495074225,240.1646,2030.9856345440198,141.838947696022,108.317860395874,232198.513652808,670.918723923204,23.7566219233528,19.2294124519583,55.55096800004001,179.9768,10899.865321385601,17426.343930496398,16.743927268748802,11.869036410643899,25172.3282770189,41952.0332559775,2139.98805468982,794.947978911189,59.96678008202699,51566.010063122005,30177.155110164702,78654.36,115.498816274161,64155.5161261962,5923.63670499261,8308.73480684338,221.1669,5545.81215932176,4537.8041803052,129.344958781322,97451.0827124985,367.711492944881,152399.215113318,12797.1981939553,4221.13135958984
Sample_0032_Non-LCa,11.915735402430698,2528.24715689304,10181.4883221663,132.276438599231,863.3128913421291,41952.0332559775,794.947978911189,294.42909455968,3017.03192133755,3662.82923824221,54.56038,1836.0739251549398,62.300417654270895,163.148218388304,232198.513652808,355.83225493626196,13.2253905883902,9.80679566491022,66.15083665720671,184.5124,4221.13135958984,5923.63670499261,10.069006581959,17.3197367433902,15579.7185045868,51566.010063122005,1391.28404036806,762.428505477662,91.4024163082272,30177.155110164702,25172.3282770189,64155.52,61.140044682319704,97451.0827124985,7740.06911580213,9512.63251640146,93.23252,14023.704006208798,17426.343930496398,285.644299486775,78654.3623934317,421.616342639836,152399.215113318,4537.8041803052,19451.7634340127
Sample_0033_LCa,29.470252994257898,3921.6220505032898,25172.3282770189,406.817520865886,322.93778558439203,10899.865321385601,10181.4883221663,148.386196474162,15579.7185045868,41952.0332559775,57.67943,21787.9921465462,135.366272230162,470.136339529948,232198.513652808,144.962771302323,240.16460485053398,11.059758243898301,48.214860646833,82.57323000000001,14023.704006208798,7740.06911580213,16.2140417724928,13.3504190681825,19451.7634340127,64155.5161261962,9512.63251640146,93.2325163220042,204.27935851752102,4537.8041803052,78654.3623934317,97451.08,33.9919149586442,12797.1981939553,30177.155110164702,17426.343930496398,39.19984,2842.7863457124104,4852.0476758985,10.4746808792755,51566.010063122005,118.082862653931,152399.215113318,8877.773220715459,1750.45738445436
Sample_0034_Non-LCa,11.915735402430698,487.995813577437,25172.3282770189,93.2325163220042,115.498816274161,11776.6392333358,2842.7863457124104,42.3339257305628,21787.9921465462,19451.7634340127,21.533,5923.63670499261,15.367324956266902,79.29904113099771,232198.513652808,67.4421170742017,80.92728963512499,10.533920673207302,15.1927798471149,68.84945,12797.1981939553,1117.70116449842,9.881445720745381,11.734601700518802,14023.704006208798,51566.010063122005,1836.0739251549398,28.7478453470677,39.19984070009,2675.90952004589,78654.3623934317,41952.03,17.6871278044712,64155.5161261962,30177.155110164702,17426.343930496398,15.5431,5545.81215932176,4537.8041803052,189.249340357013,152399.215113318,34.456609647429296,97451.0827124985,1272.8461432081501,5192.81196468206
